Title,Genre,Year,Rating,Box Office (millions),Duration (minutes)
A Nightmare on Elm Street ,Horror,1984,7.4,25.00,91
The Shawshank Redemption,Drama,1994,9.3,16.00,142
Inception,Action ,2010,8.3,839.00,148
Interstellar,Sci-Fi ,2014,8.6,681.00,169
Goodfellas,Drama,1990,8.7,46.80,146
Ocean’s Eleven,Comedy,2001,7.8,450.70,116
The Wolf of Wall Street,Biography,2013,8.2,407.00,179
Scary Movie 3,Comedy,2003,4.8,220.00,84
Valentine’s Day,Comedy,2010,5.6,216.50,125
Wrong Turn ,Horror,2003,6.5,28.70,91
Ghost Ship,Horror,2002,5.4,68.30,103
The Green Mile,Drama,1999,8.6,286.80,189
Forrest Gump,Drama,1994,8.8,330.50,142
